	Day	Start	End
0	2024-10-01	8:45	22:00
1	2024-10-02	8:45	22:00
2	2024-10-03	8:45	22:00
3	2024-10-04	8:45	22:00
4	2024-10-05	10:00	19:00
5	2024-10-06	10:00	19:00
6	2024-10-07	8:45	22:00
7	2024-10-08	8:45	22:00
8	2024-10-09	8:45	22:00
9	2024-10-10	8:45	22:00
10	2024-10-11	8:45	22:00
11	2024-10-12	10:00	19:00
12	2024-10-13	10:00	19:00
13	2024-10-14	10:00	19:00
14	2024-10-15	8:45	22:00
15	2024-10-16	8:45	22:00
16	2024-10-17	8:45	22:00
17	2024-10-18	8:45	22:00
18	2024-10-19	10:00	19:00
19	2024-10-20	0	0
20	2024-10-21	8:45	22:00
21	2024-10-22	8:45	22:00
22	2024-10-23	8:45	22:00
23	2024-10-24	8:45	22:00
24	2024-10-25	8:45	22:00
25	2024-10-26	10:00	19:00
26	2024-10-27	10:00	19:00
27	2024-10-28	8:45	22:00
28	2024-10-29	8:45	22:00
29	2024-10-30	8:45	22:00
30	2024-10-31	8:45	22:00
0	2024-11-01	8:45	22:00
1	2024-11-02	10:00	19:00
2	2024-11-03	10:00	19:00
3	2024-11-04	10:00	19:00
4	2024-11-05	8:45	22:00
5	2024-11-06	8:45	22:00
6	2024-11-07	8:45	22:00
7	2024-11-08	8:45	22:00
8	2024-11-09	10:00	19:00
9	2024-11-10	10:00	19:00
10	2024-11-11	8:45	22:00
11	2024-11-12	8:45	22:00
12	2024-11-13	8:45	22:00
13	2024-11-14	8:45	22:00
14	2024-11-15	8:45	22:00
15	2024-11-16	10:00	19:00
16	2024-11-17	10:00	19:00
17	2024-11-18	8:45	22:00
18	2024-11-19	8:45	22:00
19	2024-11-20	8:45	22:00
20	2024-11-21	8:45	22:00
21	2024-11-22	8:45	22:00
22	2024-11-23	10:00	19:00
23	2024-11-24	10:00	19:00
24	2024-11-25	8:45	22:00
25	2024-11-26	8:45	22:00
26	2024-11-27	8:45	22:00
27	2024-11-28	8:45	22:00
28	2024-11-29	8:45	22:00
29	2024-11-30	10:00	19:00
0	2024-12-01	10:00	19:00
1	2024-12-02	8:45	22:00
2	2024-12-03	8:45	22:00
3	2024-12-04	8:45	22:00
4	2024-12-05	8:45	22:00
5	2024-12-06	8:45	22:00
6	2024-12-07	10:00	19:00
7	2024-12-08	10:00	19:00
8	2024-12-09	8:45	22:00
9	2024-12-10	8:45	22:00
10	2024-12-11	8:45	22:00
11	2024-12-12	8:45	22:00
12	2024-12-13	8:45	22:00
13	2024-12-14	10:00	19:00
14	2024-12-15	10:00	19:00
15	2024-12-16	8:45	22:00
16	2024-12-17	8:45	22:00
17	2024-12-18	8:45	22:00
18	2024-12-19	8:45	22:00
19	2024-12-20	8:45	22:00
20	2024-12-21	10:00	19:00
21	2024-12-22	10:00	19:00
22	2024-12-23	8:45	22:00
23	2024-12-24	8:45	22:00
24	2024-12-25	8:45	22:00
25	2024-12-26	8:45	22:00
26	2024-12-27	8:45	17:00
27	2024-12-28	0	0
28	2024-12-29	0	0
29	2024-12-30	0	0
30	2024-12-31	0	0
